Cycle,Time (s),Voltage (V),Capacity (mAh)
6,487671.7321846709,0.088945173,1.030231360364669
6,487681.7323772199,0.088906989,1.0305900756566
6,487691.732569769,0.088994831,1.030948790036505
6,487701.7327623181,0.088857338,1.031307550901864
6,487711.7329548672,0.088933721,1.031666286823177
6,487721.7331474163,0.088933714,1.032025035901179
6,487731.7333399653,0.088903166,1.032383791902681
6,487741.7335325144,0.088914618,1.032742540939591
6,487751.7337250635,0.088952817,1.033101295969837
6,487761.7339176126,0.088964276,1.03346004432169
6,487771.7341101617,0.088929899,1.033818760966963
6,487781.7343027107,0.088975735,1.034177467270218
6,487791.7344952598,0.088971913,1.034536186412674
6,487801.7346878089,0.089036845,1.03489491173312
6,487811.734880358,0.08897955,1.035253662294806
6,487821.7350729071,0.088895522,1.035612388612603
6,487831.7352654561,0.088991009,1.035971093921648
6,487841.7354580052,0.089021564,1.036329784955825
6,487851.7356505543,0.088991009,1.036688464983776
6,487861.7358431034,0.088979557,1.037047170485291
6,487871.7360356525,0.089067392,1.037405881941268
6,487881.7362282015,0.088994823,1.03776458813643
6,487891.7364207506,0.089002468,1.038123306537754
6,487901.7366132997,0.089010105,1.038482006585201
6,487911.7368058488,0.089025386,1.038840716939079
6,487921.7369983979,0.089025386,1.039199419659137
6,487931.7371909469,0.089113228,1.039558119906795
6,487941.737383496,0.08906357,1.039916809144267
6,487951.7375760451,0.089021564,1.04027549502007
6,487961.7377685942,0.089033023,1.040634227981142
6,487971.7379611433,0.08912468,1.04099295985536
6,487981.7381536923,0.089071214,1.041351697468951
6,487991.7383462414,0.089143783,1.041710443613791
6,488001.7385387905,0.089139961,1.042069161313083
6,488011.7387313396,0.089113221,1.04242788650356
6,488021.7389238887,0.089117043,1.042786579101617
6,488031.7391164377,0.089128502,1.04314525889236
6,488041.7393089868,0.08909031,1.043503941832756
6,488051.7395015359,0.089155234,1.043862626740627
6,488061.739694085,0.089094125,1.044221326142031
6,488071.7398866341,0.089178152,1.044580034797387
6,488081.7400791831,0.089151412,1.044938747086634
6,488091.7402717322,0.089193426,1.045297450545344
6,488101.7404642813,0.089120857,1.045656160501401
6,488111.7406568304,0.08915142,1.046014868054292
6,488121.7408493795,0.089166693,1.046373563164133
6,488131.7410419285,0.089151412,1.046732266877243
6,488141.7412344776,0.089166693,1.047090951262374
6,488151.7414270267,0.089128502,1.047449636766159
6,488161.7416195758,0.089216352,1.047808309435109
6,488171.7418121248,0.08926218,1.048167018174921
6,488181.7420046739,0.089185797,1.048525719988708
6,488191.7421972235,0.089166693,1.048884436994574
6,488201.742389773,0.089197256,1.049243139603536
6,488211.7425823221,0.089166693,1.049601859455305
6,488221.7427748716,0.089227803,1.049960579456316
6,488231.7429674212,0.08926218,1.050319283176621
6,488241.7431599707,0.089281276,1.050677983675055
6,488251.7433525203,0.089170516,1.051036704873734
6,488261.7435450698,0.089235447,1.051395426719437
6,488271.7437376194,0.089243084,1.051754129183126
6,488281.7439301689,0.089269817,1.05211281167147
6,488291.7441227185,0.089300372,1.05247149572842
6,488301.744315268,0.08929655,1.052830180254205
6,488311.7445078176,0.08932329,1.053188878844906
6,488321.7447003671,0.089308009,1.053547589646857
6,488331.7448929166,0.08926218,1.053906289246154
6,488341.7450854662,0.089292727,1.054264996538424
6,488351.7452780157,0.089342378,1.054623689874672
6,488361.7454705653,0.089353837,1.054982381661391
6,488371.7456631148,0.08926218,1.055341073354042
6,488381.7458556644,0.089292727,1.055699769088673
6,488391.7460482139,0.089269817,1.056058461613072
6,488401.7462407632,0.0893462,1.056417155585512
6,488411.7464333125,0.089334741,1.05677584541404
6,488421.7466258619,0.089365304,1.057134542025838
6,488431.7468184112,0.089350022,1.057493244819231
6,488441.7470109605,0.089315645,1.057851989024917
6,488451.7472035098,0.089361481,1.058210738878559
6,488461.7473960591,0.089372933,1.058569497957206
6,488471.7475886084,0.089365296,1.05892824547901
6,488481.7477811573,0.089372933,1.059286962808279
6,488491.7479737066,0.089388214,1.059645665350328
6,488501.748166256,0.089342378,1.06000433699619
6,488511.7483588054,0.089369111,1.060363014611677
6,488521.7485513549,0.089369118,1.060721688804701
6,488531.7487439043,0.089426413,1.06108037264116
6,488541.7489364537,0.089418761,1.061439062777946
6,488551.7491290031,0.089376755,1.061797803909454
6,488561.7493215526,0.089453146,1.062156521547456
6,488571.749514102,0.089476064,1.062515223347266
6,488581.7497066514,0.089449324,1.062873923664108
6,488591.7498992009,0.089491338,1.063232630945067
6,488601.7500917505,0.089472234,1.063591353272992
6,488611.7502843,0.089456961,1.063950073469328
6,488621.7504768494,0.089483693,1.064308803588949
6,488631.7506693988,0.089483693,1.064667530850718
6,488641.7508619482,0.089479879,1.065026244526049
6,488651.7510544976,0.08943022,1.065384974432543
6,488661.751247047,0.089533344,1.065743711608081
6,488671.7514395963,0.089445509,1.066102449746208
6,488681.7516321457,0.089521885,1.066461184725511
6,488691.7518246952,0.089540981,1.066819903226813
6,488701.7520172445,0.089586817,1.067178635881832
6,488711.7522097938,0.089506611,1.067537390639407
6,488721.7524023431,0.089571536,1.067896134574117
6,488731.7525948924,0.089453138,1.068254859254523
6,488741.7527874412,0.089540981,1.068613570901239
6,488751.7529799906,0.089571543,1.06897229200418
6,488761.7531725399,0.08951807,1.06933102614588
6,488771.7533650892,0.089598268,1.069689736601563
6,488781.7535576385,0.089567721,1.070048458073514
6,488791.753750188,0.089586817,1.070407151563783
6,488801.7539427374,0.089586817,1.070765865209825
6,488811.7541352869,0.089621186,1.071124585199043
6,488821.7543278364,0.089655563,1.071483310600527
6,488831.754520386,0.08955244,1.071842022628521
6,488841.7547129355,0.089613549,1.072200751319261
6,488851.7549054851,0.08963646,1.072559488926268
6,488861.7550980346,0.089678481,1.072918262307193
6,488871.7552905842,0.089586817,1.073277037546816
6,488881.7554831337,0.089689933,1.073635792718867
